NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Abad Pérez, Juan Antonio",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,La Rioja,M,,,,,,,,,x,,,
"Ábalos Meco, José Luis",2813.87,0,0,662.45,1424.62,697.65,1823.86,7422.45,103914.3,Valencia,M,,,,,,x,,,x,,,Portavoz sustituto Junta Portavoces / Secretario Segundo Comisión
"Agirretxea Urresti, Joseba Andoni",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Gipuzkoa,M,,,,,,,,,,x,,
"Aguiar Rodríguez, Ernesto",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Santa Cruz de Tenerife,M,,,,,,,,,,x,,
"Aguilar Rivero, Rosa",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Córdoba,F,,,,,,,,,,x,,
"Albendea Pabón, Juan Manuel",2813.87,0,0,0,0,1431.31,1823.86,6069.04,84966.56,Sevilla,M,,,,,,,x,,,,,
"Alberto Pérez, Celia",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Las Palmas,F,,,,,,,,,,,x,
"Alegría Continente, María Pilar",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Zaragoza,F,,,,,,,,x,,,,
"Alonso Aranegui, Alfonso",2813.87,0,0,0,2667.5,0,1823.86,7305.23,102273.22,Álava,M,,,,,x,,,,,,,
"Alonso Núñez, Alejandro",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Toledo,M,,,,,,,,,,x,,
"Alonso Ruiz, José María",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Cantabria,F,,,,,,,,,x,,,
"Álvarez Álvarez, Ángeles",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,,
"Álvarez-Arenas Cisneros, María del Carmen",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,,
"Álvarez de Toledo Peralta Ramos, Cayetana",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,x,,,,
"Álvarez Sostres, Enrique",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Asturias,M,,,,,,,,,,x,x,
"Anchuelo Crego, Álvaro",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,,,x,,
"Angulo Romero, María Teresa",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Badajoz,F,,,,,,,,x,,,,
"Aragonés Mendiguchía, Carlos",2813.87,0,0,0,0,1431.31,870.56,5115.74,71620.36,Madrid,M,x,,,,,,x,,,,,
"Araújo Gil, Rogelio",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Illes Balears,M,,,,,,,,,x,,,
"Ares Martínez-Fortún, María de la O",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Illes Balears ,F,,,,,,,,,x,,,
"Ariztegui Larrañaga, Maite",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Gipuzkoa,F,,,,,,,,,,x,x,
"Asian González, Matilde Pastora",2813.87,0,0,0,2087.07,0,1823.86,6724.8,94147.2,Las Palmas,F,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Ayala Sánchez, Andrés José",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Murcia,M,,,,,,,,,,x,,
"Ayllón Manso, José Luis",2813.87,0,0,0,0,0,1823.86,4637.73,64928.22,Barcelona,M,,,,,,,,,,,,
"Azpiazu Uriarte, Pedro María",2813.87,0,0,0,2087.07,1046.48,1823.86,7771.28,108797.92,Bizkaia,M,,,,,,x,,,,x,,Portavoz Sustituto de la Junta de Portavoces
"Azpiroz Villar, José Eugenio",2813.87,0,0,0,0,1431.31,1823.86,6069.04,84966.56,Gipuzkoa,M,,,,,,,x,,,,,
"Baena Azuaga, María del Mar",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Málaga,F,,,,,,,,,,,x,
"Bajo Prieto, María Luz",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,,
"Baldoví Roda, Joan",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,x,
"Barberà i Montserrat, Martí",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Tarragona,M,,,,,,,,,,x,,
"Barkos Berruezo, Uxue",2813.87,0,0,926.31,1741.19,1046.48,1823.86,8351.71,116923.94,Navarra,F,,,,,x,,,,,x,x,
"Barreda de los Ríos, Leopoldo",2813.87,0,0,662.45,1424.62,0,1823.86,6724.8,94147.2,Bizkaia,M,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Barreda Fontes, José María",2813.87,0,0,0,0,1431.31,1823.86,6069.04,84966.56,Ciudad Real,M,,,,,,,x,,,,,
"Barreiro Álvarez, Pilar",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Murcia,F,,,,,,,,x,,,,
"Barrero López, Jaime Javier",2813.87,1209.6,1010.83,707.1,0,1046.48,1823.86,8611.74,120564.36,Huelva,M,,,x,,,,,x,,,,
"Batet Lamaña, Meritxell",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,,
"Bedera Bravo, Mario",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Valladolid,M,,,,,,,,,,x,,
"Benegas Haddad, José María",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Bizkaia,M,,,,,,,,x,,,,
"Beneyto Pérez, José María",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Cuenca,M,,,,,,,,,,x,,
"Bermúdez de Castro Fernández, José Antonio",2813.87,0,0,662.45,1424.62,0,1823.86,6724.8,94147.2,Salamanca,M,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Bertomeu Bertomeu, Juan",2813.87,0,0,,,697.65,1823.86,5335.38,74695.32,Tarragona,M,,,,,,,,,,,x,
"Blanco Terán, Rosa Delia",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,x,,,,
"Blanquer Alcaraz, Patricia",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Alicante,F,,,,,,,,,,x,,
"Blasco Soto, Miriam Guadalupe",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Alicante,F,,,,,,,,,,x,,
"Bolarín Sánchez, María Dolores",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Murcia,F,,,,,,,,,,,x,
